,date,meantemp,humidity,wind_speed,meanpressure,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7
0,2013-01-01,10.0,84.5,0.0,1015.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013-01-02,7.4,92.0,2.98,1017.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013-01-03,7.166666667,87.0,4.633333333,1018.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013-01-04,8.666666667,71.33333333,1.233333333,1017.166667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2013-01-05,6.0,86.83333333,3.7,1016.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2013-01-06,7.0,82.8,1.48,1018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2013-01-07,7.0,78.6,6.3,1020.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2013-01-08,8.857142857,63.71428571,7.142857143,1018.714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2013-01-09,14.0,51.25,12.5,1017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2013-01-10,11.0,62.0,7.4,1015.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2013-01-11,15.71428571,51.28571429,10.57142857,1016.142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2013-01-12,14.0,74.0,13.22857143,1015.571429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2013-01-13,15.83333333,75.16666667,4.633333333,1013.333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2013-01-14,12.83333333,88.16666667,0.616666667,1015.166667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2013-01-15,14.71428571,71.85714286,0.528571429,1015.857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2013-01-16,13.83333333,86.66666667,0.0,1016.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2013-01-17,16.5,80.83333333,5.25,1015.833333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2013-01-18,13.83333333,92.16666667,8.95,1014.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2013-01-19,12.5,76.66666667,5.883333333,1021.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2013-01-20,11.28571429,75.28571429,8.471428571,1020.285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2013-01-21,11.2,77.0,2.22,1021.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2013-01-22,9.5,79.66666667,3.083333333,1021.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2013-01-23,14.0,60.16666667,4.016666667,1020.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2013-01-24,13.83333333,60.66666667,6.166666667,1020.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2013-01-25,12.25,67.0,5.55,1020.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2013-01-26,12.66666667,64.16666667,6.8,1019.666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2013-01-27,12.85714286,65.57142857,5.557142857,1018.142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2013-01-28,14.83333333,56.0,3.7,1017.833333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
